Method,0,1,2,3,4,5,6,7,8,9,Avg
reimplement-recur10-source,46.45,46.45,46.45,46.45,46.45,46.45,46.45,46.45,46.45,46.45,46.45
reimplement-recur-rotta,35.22,35.11,38.23,41.43,44.59,47.89,51.14,54.1,57.24,60.73,46.57
PeTTA,35.8,34.4,34.7,35.0,35.1,35.1,35.2,35.3,35.3,35.2,35.11
,,,,,,,,,,,
recur10-petta,36.6,35.3,35.61,35.91,36.15,36.17,36.34,36.24,36.27,36.22,36.08
recur10-self-reg-anchor,36.33,35.21,35.57,35.78,36.08,36.13,36.23,35.95,36.13,36.06,35.95
recur10-self-reg,39.16,42.82,46.07,48.4,50.37,51.82,53.12,54.18,54.9,55.71,49.66
recur10-self-anchor,36.36,35.67,36.38,36.94,37.28,37.53,37.64,37.46,37.75,37.87,37.09
recur10-self,40.04,45.18,49.39,52.21,54.48,56.39,57.82,59.0,60.04,61.24,53.58
,,,,,,,,,,,
recur10-cgs-source,46.14,48.56,47.77,45.47,45.21,47.59,46.35,49.42,45.59,47.39,46.95
recur10-cgs-rotta,48.48,69.69,82.64,91.83,93.4,93.71,96.89,96.05,97.53,98.11,86.83
recur-cgs-petta,46.13,47.05,44.75,39.32,38.96,47.11,41.37,46.86,47.57,41.6,44.07
,,,,,,,,,,,
recur10-cgs-sigma8k-petta,46.13,47.05,44.75,39.32,38.96,47.11,41.37,46.86,47.57,41.6,44.07
,,,,,,,,,,,
recur10-cgs-sigma5k-petta,37.24,34.87,35.02,34.99,34.91,35.06,35.19,35.11,35.1,35.15,35.26
recur10-cgs-sigma8k-petta,39.1,36.22,36.19,36.05,36.02,36.09,36.15,36.1,36.26,36.09,36.43
recur10-cgs-sigma10k-petta,39.89,36.75,36.61,36.42,36.5,36.67,36.73,36.76,36.76,36.78,36.99
,,,,,,,,,,,
recur-cgs-v1-sigma1k-petta,37.4,39.13,37.52,34.09,34.43,38.47,34.25,38.76,38.31,36.71,36.91
recur-cgs-v1-sigma2k-petta,37.89,37.55,37.97,35.09,33.65,39.33,33.74,38.26,39.43,37.15,37.01
recur-cgs-v1-sigma5k-petta,43.24,42.05,40.03,37.38,37.03,42.35,37.91,43.24,43.39,39.35,40.6
recur-cgs-v1-sigma8k-petta,46.29,45.42,43.36,40.12,39.76,45.7,41.6,47.49,48.55,41.79,44.01
recur-cgs-v3-sigma8k-petta,39.34,36.41,36.18,36.11,36.02,36.21,36.23,36.26,36.39,36.4,36.56
,,,,,,,,,,,
recur10-mytta,35.96,34.03,33.9,33.74,33.88,33.96,34.08,34.05,34.02,34.19,34.18
,,,,,,,,,,,
recur10-mytta-mb1,35.45,33.69,33.68,33.81,33.69,33.87,33.89,33.83,33.86,34.0,33.98
recru10-mytta-mb5,35.48,33.64,33.63,33.79,33.65,33.91,33.94,33.77,33.82,34.01,33.96
recru10-mytta-mb10,35.4,33.74,33.62,33.81,33.71,33.86,33.83,33.8,33.77,34.0,33.95
,,,,,,,,,,,
recur10-cgs-sigma5k-mytta,42.43,43.58,42.01,39.33,38.59,42.77,38.25,44.59,43.8,40.53,41.59
recur-cgs-sigma5k-mytta-mb5,42.92,42.7,41.15,38.87,38.39,42.83,39.33,46.85,45.72,41.97,42.07
recur-cgs-sigma5k-mytta-mb10,42.75,42.62,40.95,39.77,38.9,43.33,40.24,47.28,44.9,41.64,42.24
,,,,,,,,,,,
recur10-mytta-mb1-size64,35.45,33.69,33.68,33.81,33.69,33.87,33.89,33.83,33.86,34.0,33.98
recur10-mytta-mb1-size32,35.75,33.56,33.63,33.57,33.67,33.71,33.71,33.67,33.48,33.7,33.85
recur10-mytta-mb1-size16,35.92,33.1,33.16,33.33,33.36,33.41,33.37,33.27,33.27,33.36,33.55
,,,,,,,,,,,
recur10-mytta-stmem-mb5-size64,35.03,33.42,33.43,33.73,33.75,33.74,33.85,33.88,33.75,33.78,33.84
recur10-mytta-stmem-mb1-size64,35.06,33.49,33.56,33.64,33.64,33.62,33.81,33.7,33.53,33.56,33.76
