Method,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Avg
mytta-b64-cap32-#b5-thr03,34.03,33.05,33.18,33.28,33.38,33.28,33.31,33.22,33.2,33.34,33.21,33.31,33.31,33.21,33.34,33.38,33.24,33.29,33.11,33.15,33.29
mytta-b64-cap64-#b5-thr03,34.15,32.98,33.22,33.24,33.52,33.21,33.47,33.25,33.12,33.37,33.35,33.32,33.28,33.05,33.34,33.29,33.24,33.15,33.21,33.17,33.3
mytta-b64-cap32-#b3-thr03-conv2,34.01,33.27,33.2,33.16,33.26,33.33,33.36,33.38,33.38,33.42,33.47,33.44,33.43,33.39,33.36,33.4,33.42,33.48,33.39,33.36,33.4
mytta-b32-cap32-#b5-thr03-conv2,33.3,33.05,33.26,33.26,33.36,33.24,33.15,33.18,33.01,33.02,33.04,33.06,33.02,32.99,32.97,32.93,32.9,32.93,32.87,32.77,33.07
,,,,,,,,,,,,,,,,,,,,,
ablation of clustering number
mytta-b32-cap32-#b1-thr03-conv2,36.09,34.77,35.03,35.28,35.05,35.12,35.08,35.14,35.06,34.96,35.09,35.11,34.98,34.97,35.06,35.03,34.96,35.07,35.14,34.86,35.09
mytta-b32-cap32-#b3-thr03-conv2,33.67,33.5,33.49,33.61,33.53,33.58,33.66,33.52,33.42,33.43,33.45,33.46,33.37,33.29,33.3,33.29,33.3,33.33,33.3,33.28,33.44
mytta-b32-cap32-#b5-thr03-conv2,33.3,33.05,33.26,33.26,33.36,33.24,33.15,33.18,33.01,33.02,33.04,33.06,33.02,32.99,32.97,32.93,32.9,32.93,32.87,32.77,33.07
mytta-b32-cap32-#b7-thr03-conv2,33.37,33.24,33.31,33.31,33.28,33.26,33.32,33.29,33.19,33.17,33.2,33.18,33.05,33.09,33.09,33.21,32.95,33.03,32.95,33.03,33.18
,,,,,,,,,,,,,,,,,,,,,
